layouts/layout3/layout3_7agents_317.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_318.txt, 224, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_319.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_32.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_320.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_321.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_322.txt, 84, 0.0, Distributed
layouts/layout3/layout3_7agents_323.txt, 189, 0.0, Distributed
layouts/layout3/layout3_7agents_324.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_325.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_326.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_327.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_328.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_329.txt, 161, 0.0, Distributed
layouts/layout3/layout3_7agents_33.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_330.txt, 231, 0.0, Distributed
layouts/layout3/layout3_7agents_331.txt, 196, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_332.txt, 147, 0.0, Distributed
layouts/layout3/layout3_7agents_333.txt, 91, 9.5367431640625e-07, Distributed
layouts/layout3/layout3_7agents_334.txt, 189, 0.0, Distributed
layouts/layout3/layout3_7agents_335.txt, 168, 0.0, Distributed
layouts/layout3/layout3_7agents_336.txt, 154, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_337.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_338.txt, 133, 0.0, Distributed
layouts/layout3/layout3_7agents_339.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_34.txt, 196, 0.0, Distributed
layouts/layout3/layout3_7agents_340.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_341.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_342.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_343.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_344.txt, 140, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_345.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_346.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_347.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_348.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_349.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_35.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_350.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_351.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_352.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_353.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_354.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_355.txt, 168, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_356.txt, 189, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_357.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_358.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_359.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_36.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_360.txt, 105, 0.0, Distributed
layouts/layout3/layout3_7agents_361.txt, 119, 0.0, Distributed
layouts/layout3/layout3_7agents_362.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_363.txt, 217, 0.0, Distributed
layouts/layout3/layout3_7agents_364.txt, 210, 0.0, Distributed
layouts/layout3/layout3_7agents_365.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_366.txt, 196, 1.1920928955078125e-06, Distributed
layouts/layout3/layout3_7agents_367.txt, None, Not Solvable, Distributed
layouts/layout3/layout3_7agents_368.txt, None, Not Solvable, Distributed
